log_disk,data_disk,r,P_ops_per_s,C_total,CPR
HDD,HDD,0.0,30000.0,2.299,13049.151805132668
HDD,HDD,0.5,43783.78378378379,2.299,19044.708039923353
HDD,HDD,0.95,74654.37788018433,2.299,32472.543662542117
HDD,HDD,1.0,81000.0,2.299,35232.7098738582
HDD,SSD,0.0,30000.0,2.67,11235.955056179775
HDD,SSD,0.5,44745.7627118644,2.67,16758.71262616644
HDD,SSD,0.95,80243.16109422491,2.67,30053.618387350154
HDD,SSD,1.0,88000.0,2.67,32958.801498127345
SSD,HDD,0.0,39000.0,2.67,14606.741573033709
SSD,HDD,0.5,52650.00000000001,2.67,19719.10112359551
SSD,HDD,0.95,76861.31386861313,2.67,28787.00893955548
SSD,HDD,1.0,81000.0,2.67,30337.078651685395
SSD,SSD,0.0,39000.0,3.041,12824.728707661954
SSD,SSD,0.5,54047.2440944882,3.041,17772.852382271685
SSD,SSD,0.95,82798.55247285886,3.041,27227.409560295582
SSD,SSD,1.0,88000.0,3.041,28937.849391647484
